Gender,Marital_Status,oneProduct,prefCount,totCount,preftotCount,prefPurchase,totPurchase,preftotPurchase,Age_0_17,Age_18_25,Age_26_35,Age_36_45,Age_46_50,Age_51_55,Age_55gt,City_Category_A,City_Category_B,City_Category_C,CityYears_0,CityYears_1,CityYears_2,CityYears_3,CityYears_4gt,prefCat1_1,prefCat1_5,prefCat1_8,prefCat1_19,prefCat2_1,prefCat2_5,prefCat2_8,prefCat2_19
0,0,0,0.0351966873706004,0.0284313725490196,0.485294117647059,0.029672253433925,0.0275785726709347,0.365812680411604,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1,0,0,0.111801242236025,0.0696078431372549,0.692982456140351,0.108857965069859,0.0730266590740683,0.662439396368221,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
1,0,0,0.0455486542443064,0.0235294117647059,0.798850574712644,0.0483670248450985,0.0283556862287262,0.786756590312858,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
1,1,1,0.0227743271221532,0.00784313725490196,1,0.0326943042377585,0.0154278103534132,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1,1,0,0.124223602484472,0.0990196078431373,0.515723270440251,0.0780569521562677,0.0740414622581944,0.345543947998798,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,0,0,0.0372670807453416,0.0401960784313725,0.340579710144927,0.0316151044963437,0.0319596289792641,0.306064767142606,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,1,0,0.0269151138716356,0.0107843137254902,0.927083333333333,0.0365985912644402,0.0181382726521121,0.956094469695622,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1,1,0,0.128364389233954,0.0696078431372549,0.81578947368421,0.117113305587168,0.0717106934123091,0.765525898207469,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
1,0,0,0.062111801242236,0.0509803921568627,0.488304093567251,0.0510339582597681,0.0524034147631562,0.289944824742638,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
0,1,0,0.256728778467909,0.212745098039216,0.495495495495495,0.229503677441901,0.202558260881996,0.402334134426911,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
0,0,0,0.0973084886128364,0.0627450980392157,0.661835748792271,0.0554733811366162,0.0488716175808362,0.40459193537109,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
1,0,0,0.010351966873706,0.00588235294117647,0.575757575757576,0.00745564312324013,0.0073091942712416,0.351959287990188,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,1,0,0.105590062111801,0.053921568627451,0.863888888888889,0.1129282407787,0.0638368194955052,0.861032389803349,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
1,0,0,0.0124223602484472,0.00784313725490196,0.551282051282051,0.00942473169414499,0.007959933953925,0.432391173684752,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0.12008281573499,0.108823529411765,0.436781609195402,0.106029051481271,0.0955920201473885,0.385096521818196,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,1,0,0.0289855072463768,0.0156862745098039,0.722222222222222,0.0156667078449786,0.010132783108216,0.630234218314811,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0.0973084886128364,0.106862745098039,0.334795321637427,0.133969811560028,0.131653081792774,0.316597114869369,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0.204968944099379,0.170588235294118,0.491620111731844,0.227962952638017,0.184373098375772,0.479977295693409,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1,0,0,0.146997929606625,0.136274509803922,0.424768518518518,0.169453126508884,0.134744476503847,0.495213533708247,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1,0,0,0.0186335403726708,0.00686274509803922,0.902777777777778,0.0277239362239051,0.0134988456232562,0.944374477104426,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,0.0144927536231884,0.00784313725490196,0.641025641025641,0.0123895701530849,0.0078755893992714,0.627128268892375,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,0.246376811594203,0.147058823529412,0.744086021505376,0.177484537179461,0.117755481800399,0.679931505523352,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
1,1,0,0.182194616977226,0.162745098039216,0.447368421052631,0.167768095408327,0.155050070644521,0.36429329800683,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0,1,0,0.107660455486542,0.0696078431372549,0.662280701754386,0.0891455791802455,0.0644966131134339,0.582478696343518,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
1,0,0,0.0662525879917184,0.0372549019607843,0.755813953488372,0.0790275577653368,0.0467094425396765,0.7968462597801,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
1,1,0,0.291925465838509,0.216666666666667,0.571533923303835,0.181837412719288,0.148872046451453,0.468446024655579,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,1,0,0.0351966873706004,0.0352941176470588,0.373983739837398,0.0311178672695463,0.0385463192179306,0.177892174284427,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
0,1,0,0.0496894409937888,0.0509803921568627,0.365497076023392,0.0447132695834759,0.0450268401527732,0.304917093805945,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
1,0,0,0.0952380952380952,0.046078431372549,0.91025641025641,0.115085000417249,0.0621474504833134,0.919824371800215,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0.0227743271221532,0.0245098039215686,0.338888888888889,0.0168191539642507,0.0206693717283724,0.200639036678608,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0,0,0.109730848861284,0.057843137254902,0.8359375,0.0739294641025333,0.0430820548620824,0.811086340156899,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
0,1,0,0.0186335403726708,0.0176470588235294,0.391304347826087,0.0148236456799396,0.0176210546881515,0.223809173198165,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1,1,0,0.211180124223602,0.205882352941176,0.397674418604651,0.194614714942225,0.180691291782124,0.360371778182061,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0.136645962732919,0.092156862745098,0.634680134680135,0.0939069581508096,0.0727782953346025,0.516971515770169,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1,1,0,0.159420289855072,0.103921568627451,0.663663663663663,0.0929891919685529,0.0740702442418163,0.491714081478302,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
1,0,0,0.279503105590062,0.190196078431373,0.636515912897822,0.281455219679006,0.216572418377582,0.527766503974936,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0,0,0,0.0331262939958592,0.0245098039215686,0.533333333333333,0.0265321338419037,0.0194671044323778,0.549642000424464,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0.0393374741200828,0.0343137254901961,0.445833333333333,0.0324025941607696,0.0322004636567891,0.317553377546155,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0,0,0,0.0062111801242236,0.00980392156862745,0.222222222222222,0.013038037463518,0.00973336160702585,0.516892764365937,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
1,1,0,0.192546583850932,0.116666666666667,0.727150537634409,0.217278091716855,0.137133857667373,0.738730235243436,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0.010351966873706,0.00784313725490196,0.461538461538461,0.00778561623343803,0.00890526009811607,0.2714693136684,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1,1,0,0.0993788819875776,0.112745098039216,0.319444444444444,0.123494850706755,0.108291927463683,0.408008219718034,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0,1,0,0.273291925465839,0.153921568627451,0.79835390946502,0.127040558450792,0.0842860376405445,0.676382367118562,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,0,0,0.031055900621118,0.0147058823529412,0.825,0.0193261114591225,0.00898331455038872,0.939011952026896,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
1,1,0,0.0186335403726708,0.00882352941176471,0.75,0.0133517943358321,0.00831008298646437,0.648146203801966,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
1,1,0,0.405797101449275,0.325490196078431,0.518793273986152,0.32285527499642,0.261496996714375,0.479058012560761,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
1,1,0,0.0869565217391304,0.0529411764705882,0.703389830508475,0.0979349623182005,0.065558401456254,0.663226020351085,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,0,0.020703933747412,0.0186274509803922,0.416666666666667,0.0136272881749371,0.0147426657167977,0.280408578941199,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0.0331262939958592,0.0196078431372549,0.673333333333333,0.0165416558710252,0.0149307969607369,0.389992352511811,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
1,0,0,0.0786749482401656,0.0362745098039216,0.944444444444444,0.0872479149379975,0.0456443185365028,0.9504837296215,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0.389233954451346,0.364705882352941,0.42130857648099,0.409936654637498,0.402782226648591,0.314614842626906,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1,1,0,0.0351966873706004,0.0176470588235294,0.797101449275362,0.0227983906203822,0.0136374184848001,0.721437214452495,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
0,0,0,0.0124223602484472,0.00784313725490196,0.551282051282051,0.00863869966907942,0.00857407667730107,0.341891386206145,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1,1,0,0.0331262939958592,0.0313725490196078,0.400900900900901,0.0284644170189599,0.0322846176022797,0.232875244810913,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
1,0,0,0.0434782608695652,0.0362745098039216,0.472222222222222,0.0281069309658355,0.025585753871153,0.381238690967442,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0,0,0.291925465838509,0.25,0.475,0.318318736897189,0.271830872489618,0.430990040002078,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0,1,0,0.163561076604555,0.119607843137255,0.57742782152231,0.0967883467563698,0.0892012761283467,0.367497622647232,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,1,0,0.0372670807453416,0.0294117647058824,0.5,0.0286489906029635,0.0224796822545252,0.495675067269314,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0.0289855072463768,0.0137254901960784,0.81578947368421,0.020912569697937,0.0106923163063756,0.85937369073173,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
0,0,0,0.296066252587992,0.270588235294118,0.435349940688019,0.234519050071005,0.235309680324607,0.299419594575211,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1,0,0,0.0641821946169772,0.0568627450980392,0.444444444444444,0.048682785971533,0.0485721705856705,0.310752606901331,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,1,0,0.0186335403726708,0.00980392156862745,0.688888888888889,0.0286761391360499,0.015900616382381,0.812025718780809,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1,1,0,0.0910973084886128,0.0598039215686274,0.646464646464647,0.122939490110464,0.0808261001126977,0.685911723690058,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
1,0,0,0.0227743271221532,0.0147058823529412,0.591666666666667,0.0256027065447643,0.0172312589496959,0.622484748769812,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0,1,0,0.0434782608695652,0.0303921568627451,0.578703703703704,0.039444267705672,0.0293761123831625,0.544617375712593,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
1,0,0,0.0600414078674948,0.0362745098039216,0.694444444444445,0.0322273130276882,0.0270730771705023,0.442008212588965,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0.0579710144927536,0.0294117647058824,0.833333333333333,0.0406743331208824,0.0258582296697458,0.694514766685985,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,0.0186335403726708,0.0196078431372549,0.346666666666667,0.0141919412221504,0.0161681363427343,0.249331095071303,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,1,0,0.0186335403726708,0.0107843137254902,0.635416666666667,0.0145563510622365,0.0107691317990884,0.52662753824195,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0,1,0,0.0393374741200828,0.0205882352941176,0.775641025641026,0.0257027370458679,0.0175180304355181,0.611625650508461,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0.219461697722567,0.125490196078431,0.780701754385965,0.218327045441543,0.131916503656122,0.790894301427755,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
1,1,0,0.0289855072463768,0.0225490196078431,0.5,0.0328061780586649,0.0268904735922918,0.461644957752684,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0,0,1,0.115942028985507,0.102941176470588,0.448484848484848,0.111989521030638,0.0944582768455137,0.441282137207981,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
1,1,0,0.0600414078674948,0.0450980392156863,0.542483660130719,0.0602697434518285,0.0527627130355224,0.409643486487052,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
1,0,0,0.0269151138716356,0.0156862745098039,0.666666666666667,0.0110800633927358,0.00984096047957265,0.402311232544655,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
0,1,0,0.134575569358178,0.0784313725490196,0.752941176470588,0.0793316577768886,0.0512927351700115,0.696604840996785,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0.0165631469979296,0.0107843137254902,0.5625,0.00850186377412712,0.00765953391294403,0.395459682499147,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,1,0,0.031055900621118,0.0254901960784314,0.473118279569892,0.0346034473899692,0.028115899901598,0.469097778501742,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
0,1,0,0.031055900621118,0.0450980392156863,0.222222222222222,0.0507191081579338,0.0553404160521507,0.248506410938135,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1,1,0,0.0766045548654244,0.0529411764705882,0.604519774011299,0.0798611452745336,0.0573352362481445,0.588872146320308,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
0,0,0,0.0579710144927536,0.046078431372549,0.506410256410256,0.0559119483791597,0.0462904835992728,0.455858096163401,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0.0351966873706004,0.0166666666666667,0.840909090909091,0.039596591018828,0.0222075876742585,0.823851376053779,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0.0144927536231884,0.0137254901960784,0.385964912280702,0.0106650005848778,0.0099822971739809,0.371177311561014,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0.020703933747412,0.0176470588235294,0.442028985507246,0.0314733490685502,0.0238206177166452,0.526949887811294,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
1,0,0,0.0662525879917184,0.0313725490196078,0.905405405405405,0.0677139076651059,0.0346164347985619,0.967059100061161,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
0,1,0,0.0455486542443064,0.0274509803921569,0.681818181818182,0.0300672737005783,0.0271846788354733,0.385936975525438,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
0,1,0,0.0124223602484472,0.00784313725490196,0.551282051282051,0.0126337247459426,0.00649195748462618,0.786306969880861,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0.157349896480331,0.129411764705882,0.497566909975669,0.13728503008021,0.120704491466666,0.40573523116282,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
1,1,0,0.0372670807453416,0.0176470588235294,0.847826086956522,0.0291946943384923,0.015897185417446,0.832051172528217,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
0,0,0,0.173913043478261,0.213725490196078,0.283258594917788,0.146152943538704,0.145797520651312,0.304985768042706,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1,1,0,0.209109730848861,0.106862745098039,0.887426900584795,0.208671460113703,0.117369498245204,0.880533507331732,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1,0,0,0.0041407867494824,0.00196078431372549,0.5,0.000437838422863365,0.000493677732322787,0.394397121917326,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
1,1,0,0.062111801242236,0.0490196078431373,0.512121212121212,0.0666432715549331,0.0510997433924142,0.524514310639552,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
0,1,0,0.0476190476190476,0.0372549019607843,0.511627906976744,0.0461364722139319,0.0381342222073971,0.456534750059076,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
0,0,0,0.0848861283643892,0.0754901960784314,0.445121951219512,0.0592699850555525,0.0784162284641428,0.127887303068647,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
0,1,0,0.0124223602484472,0.00784313725490196,0.551282051282051,0.0155511899256713,0.0105218164100194,0.595200571055192,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
0,0,0,0.0683229813664596,0.057843137254902,0.471354166666667,0.046628061088208,0.0440597845639935,0.350862067189419,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0.0745341614906832,0.0352941176470588,0.914634146341463,0.073178779831956,0.03982054147298,0.892744572019448,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
0,0,0,0.124223602484472,0.0588235294117647,0.946153846153846,0.197153376093184,0.104275697093449,0.961767540168993,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0.0786749482401656,0.0794117647058823,0.375968992248062,0.049398304692542,0.056816398106298,0.214559620479545,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
1,1,0,0.115942028985507,0.0588235294117647,0.874358974358974,0.170815472696046,0.0927030523674849,0.923821606831769,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1,1,0,0.0331262939958592,0.0225490196078431,0.583333333333333,0.0148462390900249,0.0162896496841844,0.269591845053751,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
1,1,0,0.0745341614906832,0.0343137254901961,0.941666666666667,0.108683594961378,0.0564185014784123,0.969889982202527,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0.0248447204968944,0.0245098039215686,0.377777777777778,0.020971604092031,0.0195629808413965,0.365904223302298,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
1,0,0,0.0579710144927536,0.057843137254902,0.380208333333333,0.0418382581501172,0.0509279092319165,0.18216349316343,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
